tensor_path,clip_id,source,piece,condition,seg_index,shape,dtype,sr,ok,split_mode,doppler_sign,speed_pct,snr_db
Decommissioned__10/Decommissioned__10__query__noise__seg04.npy,Decommissioned__10,Decommissioned,query,noise,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg05.npy,Decommissioned__10,Decommissioned,query,noise,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__noise__seg06.npy,Decommissioned__10,Decommissioned,query,noise,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg00.npy,Decommissioned__10,Decommissioned,query,speed,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg01.npy,Decommissioned__10,Decommissioned,query,speed,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg02.npy,Decommissioned__10,Decommissioned,query,speed,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg03.npy,Decommissioned__10,Decommissioned,query,speed,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg04.npy,Decommissioned__10,Decommissioned,query,speed,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg05.npy,Decommissioned__10,Decommissioned,query,speed,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed__seg06.npy,Decommissioned__10,Decommissioned,query,speed,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg00.npy,Decommissioned__10,Decommissioned,query,speed_noise,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg01.npy,Decommissioned__10,Decommissioned,query,speed_noise,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg02.npy,Decommissioned__10,Decommissioned,query,speed_noise,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg03.npy,Decommissioned__10,Decommissioned,query,speed_noise,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg04.npy,Decommissioned__10,Decommissioned,query,speed_noise,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg05.npy,Decommissioned__10,Decommissioned,query,speed_noise,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__10/Decommissioned__10__query__speed_noise__seg06.npy,Decommissioned__10,Decommissioned,query,speed_noise,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg00.npy,Decommissioned__11,Decommissioned,gallery,clean,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg01.npy,Decommissioned__11,Decommissioned,gallery,clean,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg02.npy,Decommissioned__11,Decommissioned,gallery,clean,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg03.npy,Decommissioned__11,Decommissioned,gallery,clean,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg04.npy,Decommissioned__11,Decommissioned,gallery,clean,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg05.npy,Decommissioned__11,Decommissioned,gallery,clean,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg06.npy,Decommissioned__11,Decommissioned,gallery,clean,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg07.npy,Decommissioned__11,Decommissioned,gallery,clean,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg08.npy,Decommissioned__11,Decommissioned,gallery,clean,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg09.npy,Decommissioned__11,Decommissioned,gallery,clean,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg10.npy,Decommissioned__11,Decommissioned,gallery,clean,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg11.npy,Decommissioned__11,Decommissioned,gallery,clean,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg12.npy,Decommissioned__11,Decommissioned,gallery,clean,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg13.npy,Decommissioned__11,Decommissioned,gallery,clean,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg14.npy,Decommissioned__11,Decommissioned,gallery,clean,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg15.npy,Decommissioned__11,Decommissioned,gallery,clean,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg16.npy,Decommissioned__11,Decommissioned,gallery,clean,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__gallery__clean__seg17.npy,Decommissioned__11,Decommissioned,gallery,clean,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg00.npy,Decommissioned__11,Decommissioned,query,clean,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg01.npy,Decommissioned__11,Decommissioned,query,clean,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg02.npy,Decommissioned__11,Decommissioned,query,clean,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg03.npy,Decommissioned__11,Decommissioned,query,clean,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg04.npy,Decommissioned__11,Decommissioned,query,clean,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg05.npy,Decommissioned__11,Decommissioned,query,clean,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg06.npy,Decommissioned__11,Decommissioned,query,clean,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg07.npy,Decommissioned__11,Decommissioned,query,clean,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg08.npy,Decommissioned__11,Decommissioned,query,clean,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg09.npy,Decommissioned__11,Decommissioned,query,clean,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg10.npy,Decommissioned__11,Decommissioned,query,clean,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg11.npy,Decommissioned__11,Decommissioned,query,clean,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg12.npy,Decommissioned__11,Decommissioned,query,clean,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg13.npy,Decommissioned__11,Decommissioned,query,clean,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg14.npy,Decommissioned__11,Decommissioned,query,clean,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg15.npy,Decommissioned__11,Decommissioned,query,clean,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg16.npy,Decommissioned__11,Decommissioned,query,clean,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__clean__seg17.npy,Decommissioned__11,Decommissioned,query,clean,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg00.npy,Decommissioned__11,Decommissioned,query,noise,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg01.npy,Decommissioned__11,Decommissioned,query,noise,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg02.npy,Decommissioned__11,Decommissioned,query,noise,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg03.npy,Decommissioned__11,Decommissioned,query,noise,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg04.npy,Decommissioned__11,Decommissioned,query,noise,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg05.npy,Decommissioned__11,Decommissioned,query,noise,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg06.npy,Decommissioned__11,Decommissioned,query,noise,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg07.npy,Decommissioned__11,Decommissioned,query,noise,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg08.npy,Decommissioned__11,Decommissioned,query,noise,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg09.npy,Decommissioned__11,Decommissioned,query,noise,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg10.npy,Decommissioned__11,Decommissioned,query,noise,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg11.npy,Decommissioned__11,Decommissioned,query,noise,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg12.npy,Decommissioned__11,Decommissioned,query,noise,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg13.npy,Decommissioned__11,Decommissioned,query,noise,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg14.npy,Decommissioned__11,Decommissioned,query,noise,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg15.npy,Decommissioned__11,Decommissioned,query,noise,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg16.npy,Decommissioned__11,Decommissioned,query,noise,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__noise__seg17.npy,Decommissioned__11,Decommissioned,query,noise,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg00.npy,Decommissioned__11,Decommissioned,query,speed,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg01.npy,Decommissioned__11,Decommissioned,query,speed,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg02.npy,Decommissioned__11,Decommissioned,query,speed,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg03.npy,Decommissioned__11,Decommissioned,query,speed,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg04.npy,Decommissioned__11,Decommissioned,query,speed,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg05.npy,Decommissioned__11,Decommissioned,query,speed,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg06.npy,Decommissioned__11,Decommissioned,query,speed,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg07.npy,Decommissioned__11,Decommissioned,query,speed,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg08.npy,Decommissioned__11,Decommissioned,query,speed,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg09.npy,Decommissioned__11,Decommissioned,query,speed,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg10.npy,Decommissioned__11,Decommissioned,query,speed,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg11.npy,Decommissioned__11,Decommissioned,query,speed,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg12.npy,Decommissioned__11,Decommissioned,query,speed,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg13.npy,Decommissioned__11,Decommissioned,query,speed,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg14.npy,Decommissioned__11,Decommissioned,query,speed,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg15.npy,Decommissioned__11,Decommissioned,query,speed,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg16.npy,Decommissioned__11,Decommissioned,query,speed,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg17.npy,Decommissioned__11,Decommissioned,query,speed,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed__seg18.npy,Decommissioned__11,Decommissioned,query,speed,18,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg00.npy,Decommissioned__11,Decommissioned,query,speed_noise,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg01.npy,Decommissioned__11,Decommissioned,query,speed_noise,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg02.npy,Decommissioned__11,Decommissioned,query,speed_noise,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg03.npy,Decommissioned__11,Decommissioned,query,speed_noise,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg04.npy,Decommissioned__11,Decommissioned,query,speed_noise,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg05.npy,Decommissioned__11,Decommissioned,query,speed_noise,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg06.npy,Decommissioned__11,Decommissioned,query,speed_noise,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg07.npy,Decommissioned__11,Decommissioned,query,speed_noise,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg08.npy,Decommissioned__11,Decommissioned,query,speed_noise,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg09.npy,Decommissioned__11,Decommissioned,query,speed_noise,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg10.npy,Decommissioned__11,Decommissioned,query,speed_noise,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg11.npy,Decommissioned__11,Decommissioned,query,speed_noise,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg12.npy,Decommissioned__11,Decommissioned,query,speed_noise,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg13.npy,Decommissioned__11,Decommissioned,query,speed_noise,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg14.npy,Decommissioned__11,Decommissioned,query,speed_noise,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg15.npy,Decommissioned__11,Decommissioned,query,speed_noise,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg16.npy,Decommissioned__11,Decommissioned,query,speed_noise,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg17.npy,Decommissioned__11,Decommissioned,query,speed_noise,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__11/Decommissioned__11__query__speed_noise__seg18.npy,Decommissioned__11,Decommissioned,query,speed_noise,18,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg00.npy,Decommissioned__21,Decommissioned,gallery,clean,0,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg01.npy,Decommissioned__21,Decommissioned,gallery,clean,1,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg02.npy,Decommissioned__21,Decommissioned,gallery,clean,2,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg03.npy,Decommissioned__21,Decommissioned,gallery,clean,3,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg04.npy,Decommissioned__21,Decommissioned,gallery,clean,4,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg05.npy,Decommissioned__21,Decommissioned,gallery,clean,5,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg06.npy,Decommissioned__21,Decommissioned,gallery,clean,6,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg07.npy,Decommissioned__21,Decommissioned,gallery,clean,7,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg08.npy,Decommissioned__21,Decommissioned,gallery,clean,8,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg09.npy,Decommissioned__21,Decommissioned,gallery,clean,9,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg10.npy,Decommissioned__21,Decommissioned,gallery,clean,10,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg11.npy,Decommissioned__21,Decommissioned,gallery,clean,11,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg12.npy,Decommissioned__21,Decommissioned,gallery,clean,12,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg13.npy,Decommissioned__21,Decommissioned,gallery,clean,13,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg14.npy,Decommissioned__21,Decommissioned,gallery,clean,14,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg15.npy,Decommissioned__21,Decommissioned,gallery,clean,15,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg16.npy,Decommissioned__21,Decommissioned,gallery,clean,16,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg17.npy,Decommissioned__21,Decommissioned,gallery,clean,17,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg18.npy,Decommissioned__21,Decommissioned,gallery,clean,18,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg19.npy,Decommissioned__21,Decommissioned,gallery,clean,19,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg20.npy,Decommissioned__21,Decommissioned,gallery,clean,20,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg21.npy,Decommissioned__21,Decommissioned,gallery,clean,21,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg22.npy,Decommissioned__21,Decommissioned,gallery,clean,22,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg23.npy,Decommissioned__21,Decommissioned,gallery,clean,23,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg24.npy,Decommissioned__21,Decommissioned,gallery,clean,24,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg25.npy,Decommissioned__21,Decommissioned,gallery,clean,25,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg26.npy,Decommissioned__21,Decommissioned,gallery,clean,26,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg27.npy,Decommissioned__21,Decommissioned,gallery,clean,27,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg28.npy,Decommissioned__21,Decommissioned,gallery,clean,28,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg29.npy,Decommissioned__21,Decommissioned,gallery,clean,29,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg30.npy,Decommissioned__21,Decommissioned,gallery,clean,30,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg31.npy,Decommissioned__21,Decommissioned,gallery,clean,31,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg32.npy,Decommissioned__21,Decommissioned,gallery,clean,32,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg33.npy,Decommissioned__21,Decommissioned,gallery,clean,33,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg34.npy,Decommissioned__21,Decommissioned,gallery,clean,34,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg35.npy,Decommissioned__21,Decommissioned,gallery,clean,35,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg36.npy,Decommissioned__21,Decommissioned,gallery,clean,36,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg37.npy,Decommissioned__21,Decommissioned,gallery,clean,37,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg38.npy,Decommissioned__21,Decommissioned,gallery,clean,38,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg39.npy,Decommissioned__21,Decommissioned,gallery,clean,39,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg40.npy,Decommissioned__21,Decommissioned,gallery,clean,40,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg41.npy,Decommissioned__21,Decommissioned,gallery,clean,41,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg42.npy,Decommissioned__21,Decommissioned,gallery,clean,42,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg43.npy,Decommissioned__21,Decommissioned,gallery,clean,43,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg44.npy,Decommissioned__21,Decommissioned,gallery,clean,44,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg45.npy,Decommissioned__21,Decommissioned,gallery,clean,45,"(1, 1, 40000)",float32,8000,1,,,,
Decommissioned__21/Decommissioned__21__gallery__clean__seg46.npy,Decommissioned__21,Decommissioned,gallery,clean,46,"(1, 1, 40000)",float32,8000,1,,,,
